ID_Mun,Agr_Labor_2004,Agr_Labor_2005,Agr_Labor_2006,Agr_Labor_2007,Agr_Labor_2008,Agr_Labor_2009,Agr_Labor_2010,Agr_Labor_2011,Agr_Labor_2012,Agr_Labor_2013
01001,20050,20951,20051,18987,19827,17922,18704,21197,22017,20545
01002,1177,1230,1124,1065,1112,1005,1049,1210,1257,1173
01003,1598,1670,1392,1318,1376,1244,1298,1440,1495,1396
01004,393,411,380,359,375,339,354,400,416,388
01005,1997,2087,2291,2170,2266,2048,2137,2649,2751,2567
01006,1069,1117,1079,1022,1067,965,1007,1113,1156,1079
01007,1298,1356,1261,1194,1247,1127,1176,1307,1358,1267
01008,226,236,212,200,209,189,197,225,233,218
01009,514,538,482,456,476,431,449,523,543,507
01010,478,499,475,449,469,424,443,501,520,485
01011,625,653,800,757,791,715,746,951,988,922
02001,11467,10825,9874,9609,11615,13063,12833,12770,14151,9152
02002,23649,22325,20441,19892,24045,27042,26566,25627,28398,18367
02003,2406,2272,2174,2116,2557,2876,2825,2765,3064,1982
02004,37451,35354,33689,32784,39629,44567,43783,42666,47279,30579
02005,1962,1852,1751,1704,2059,2316,2275,2480,2748,1778
03001,3736,4067,3763,3049,3224,3003,3177,3281,3563,3447
03002,2691,2929,3109,2519,2664,2482,2625,2739,2975,2877
03003,11520,12539,12946,10489,11092,10332,10929,11670,12674,12259
03008,6170,6716,9678,7841,8292,7724,8170,11050,12000,11608
03009,691,752,698,565,598,557,589,776,842,815
04001,5114,4421,4037,4219,4391,4769,5042,4872,4913,4487
04002,23651,20447,19344,20215,21040,22849,24158,23859,24061,21975
04003,18764,16222,16197,16926,17616,19131,20228,20366,20539,18759
04004,7694,6651,6165,6442,6705,7281,7699,7648,7712,7044
04005,2714,2346,2185,2283,2376,2580,2728,2607,2630,2402
04006,3404,2943,2809,2936,3055,3318,3508,3480,3509,3205
04007,916,792,671,702,730,793,838,769,776,709
04008,916,792,733,766,797,866,915,897,904,826
04009,5514,4767,4058,4241,4414,4793,5068,4991,5034,4597
04010,2521,2179,1929,2016,2098,2278,2409,2476,2497,2281
04011,4109,3552,2997,3132,3260,3540,3743,3795,3827,3495
05001,32,27,24,25,23,28,25,27,25,21
05002,3125,2663,3003,3146,2903,3517,3225,3441,3239,2640
05003,592,505,479,502,463,561,515,571,537,438
05004,548,467,467,489,451,547,501,567,534,435
05005,47,40,40,42,38,47,43,45,43,35
05006,637,543,568,595,549,665,610,651,613,500
05007,344,293,291,305,281,340,312,327,308,251
05008,79,67,66,69,64,77,71,73,69,56
05009,1314,1119,1226,1284,1185,1435,1316,1401,1319,1075
05010,1883,1604,1669,1748,1613,1955,1792,1892,1781,1452
05011,320,273,268,281,259,314,288,294,277,226
05012,58,49,45,47,43,52,48,53,50,40
05013,41,35,36,38,35,42,39,47,44,36
05014,275,234,232,243,225,272,250,250,235,192
05015,46,39,33,35,32,39,36,40,38,31
05016,50,43,41,43,39,48,44,46,43,35
05017,2603,2218,2372,2485,2293,2778,2547,2696,2538,2069
05018,5480,4669,4762,4988,4603,5576,5113,5440,5121,4174
05019,205,175,172,180,166,201,184,206,194,158
05020,1776,1513,1492,1563,1442,1747,1602,1682,1583,1290
05021,168,143,139,145,134,162,149,159,150,122
05022,651,555,615,644,595,720,661,703,661,539
05023,341,290,242,254,234,284,260,277,260,212
05024,1226,1044,1064,1114,1028,1246,1142,1142,1075,876
05025,3624,3088,3424,3586,3309,4009,3677,3845,3619,2950
05026,102,87,80,84,78,94,86,87,82,67
05027,1127,960,1349,1413,1304,1580,1449,1899,1787,1457
05028,1482,1262,1262,1322,1220,1478,1355,1531,1441,1175
05029,57,48,49,51,47,57,53,58,55,45
05030,16351,13930,15439,16170,14922,18078,16578,18244,17174,13998
05031,567,483,467,489,451,547,501,557,525,428
05032,1135,967,954,1000,922,1118,1025,1048,986,804
05033,2499,2129,2229,2334,2154,2610,2393,2583,2431,1982
05034,170,145,125,131,121,146,134,160,151,123
05035,14978,12760,13739,14390,13279,16087,14753,16093,15149,12348
05036,537,457,460,482,444,538,494,536,505,412
05037,174,148,146,153,141,171,157,158,149,121
05038,358,305,295,309,285,346,317,320,301,245
06001,1940,1655,1511,1544,1572,1620,1469,1580,1703,1527
06002,8822,7528,8012,8188,8336,8592,7791,8090,8719,7820
06003,1316,1123,1181,1207,1229,1266,1148,1150,1240,1112
06004,1273,1086,1052,1075,1094,1128,1023,1068,1151,1032
06005,1817,1551,1549,1583,1612,1661,1506,1493,1609,1443
06006,372,317,288,295,300,309,280,292,315,282
06007,8495,7249,8349,8533,8687,8953,8119,8889,9581,8593
06008,575,490,453,463,471,486,440,450,485,435
06009,6740,5751,5945,6076,6186,6375,5781,6208,6691,6001
06010,5485,4681,6065,6198,6310,6503,5897,6606,7120,6385
07001,2583,2406,2180,2205,2221,2323,2414,2610,2733,2654
07002,4506,4197,3868,3913,3941,4123,4284,4493,4706,4570
07003,4579,4265,3594,3637,3662,3831,3981,4281,4484,4354
07004,3995,3721,3678,3721,3747,3920,4073,4636,4855,4714
07005,3418,3184,2921,2955,2976,3113,3235,3302,3459,3358
07006,4750,4424,3770,3814,3841,4019,4175,4586,4803,4664
07007,1194,1112,1265,1280,1289,1349,1401,1355,1419,1378
07008,3977,3705,4296,4347,4377,4579,4758,4133,4329,4203
07009,6916,6441,5737,5805,5845,6116,6354,6216,6510,6321
07010,1215,1131,983,995,1002,1048,1089,1183,1239,1203
07011,3314,3087,2611,2642,2660,2783,2892,2993,3135,3044
07012,5228,4870,5034,5093,5129,5366,5575,6702,7020,6816
07013,4136,3853,3934,3980,4008,4193,4356,4756,4981,4837
07014,2729,2542,2221,2247,2263,2367,2460,2881,3017,2930
07015,7106,6618,6095,6167,6209,6497,6750,6801,7122,6916
07016,2860,2664,2361,2389,2406,2517,2615,2661,2786,2706
07017,11653,10854,10958,11087,11164,11680,12135,12125,12699,12331
07018,1314,1224,1142,1156,1164,1218,1265,1311,1373,1333
07019,19153,17839,18037,18250,18377,19226,19976,21889,22925,22260
07020,7240,6743,5978,6048,6090,6372,6620,6843,7166,6959
07021,3513,3272,3013,3049,3070,3212,3337,3267,3422,3323
07022,2231,2078,1978,2001,2015,2108,2190,2177,2280,2214
07023,10741,10005,9978,10096,10166,10636,11051,11943,12508,12146
07024,1378,1283,1346,1362,1371,1435,1491,1679,1759,1708
07025,1268,1181,1060,1072,1080,1129,1174,1138,1192,1157
07026,4975,4634,4728,4784,4817,5040,5236,5605,5871,5700
07027,11035,10279,10940,11069,11146,11662,12116,13598,14242,13829
07028,954,889,737,746,751,786,817,839,879,853
07029,791,737,760,769,775,810,842,779,816,792
07030,4550,4238,4203,4253,4283,4481,4655,4892,5123,4975
07031,14142,13172,14266,14434,14534,15206,15799,17316,18135,17610
07032,5109,4759,4070,4118,4147,4339,4508,4667,4888,4746
07033,953,888,960,971,978,1023,1063,1087,1138,1105
07034,9497,8846,8565,8666,8726,9129,9485,10402,10894,10578
07035,1987,1851,1622,1641,1652,1728,1796,1966,2059,1999
07036,1087,1012,1000,1012,1019,1066,1107,1129,1182,1148
07037,5728,5335,4529,4583,4615,4828,5016,5191,5437,5279
07038,3391,3159,2829,2862,2882,3015,3133,3338,3496,3395
07039,3648,3398,2988,3023,3044,3185,3309,3498,3664,3558
07040,8825,8220,7133,7217,7267,7603,7899,7972,8349,8107
07041,5870,5467,5496,5561,5600,5859,6087,6406,6709,6514
07042,1616,1505,1299,1314,1324,1385,1439,1589,1665,1616
07043,1664,1550,1442,1459,1469,1537,1597,1580,1654,1606
07044,3374,3142,3228,3267,3289,3441,3575,3806,3986,3870
07045,857,798,730,739,744,779,809,850,891,865
07046,6360,5924,5330,5392,5430,5681,5902,5870,6148,5970
07047,2380,2217,2232,2258,2274,2379,2472,2900,3037,2949
07048,3633,3384,3001,3036,3057,3198,3323,3273,3428,3328
07049,3011,2804,2576,2607,2625,2746,2853,3159,3308,3212
07050,963,897,786,796,801,838,871,772,809,785
07051,7110,6622,5644,5711,5750,6016,6251,6816,7139,6932
07052,15844,14757,14632,14805,14908,15597,16205,17305,18124,17599
07053,1307,1217,1018,1030,1037,1085,1128,1210,1267,1230
07054,4383,4083,3572,3614,3640,3808,3956,4125,4320,4195
07055,873,813,715,723,728,762,792,781,818,795
07056,1384,1289,1345,1361,1370,1434,1490,1732,1814,1761
07057,10900,10152,8644,8746,8807,9214,9573,10729,11237,10911
07058,571,532,585,592,596,624,648,670,702,681
07059,26705,24874,25328,25627,25805,26998,28050,30871,32332,31394
07060,1688,1572,1568,1587,1598,1672,1737,1844,1931,1875
07061,11955,11135,10773,10900,10976,11483,11931,12738,13340,12954
07062,3099,2887,2438,2467,2484,2599,2700,2649,2775,2694
07063,570,531,512,518,521,545,567,589,616,599
07064,6897,6424,6161,6234,6277,6568,6824,6729,7047,6843
07065,15558,14491,14576,14747,14850,15536,16142,17217,18032,17509
07066,2960,2757,2860,2894,2914,3049,3167,3196,3347,3250
07067,1559,1452,1455,1473,1483,1551,1612,1687,1767,1716
07068,5344,4978,4400,4452,4483,4690,4873,4628,4847,4706
07069,8547,7961,6907,6989,7038,7363,7650,7774,8141,7905
07070,2119,1974,1909,1931,1944,2034,2114,2049,2146,2084
07071,4862,4528,3929,3975,4003,4188,4351,4331,4536,4404
07072,4443,4138,4140,4189,4218,4413,4585,4824,5052,4905
07073,1251,1165,1185,1199,1207,1263,1312,1397,1463,1421
07074,6337,5902,5191,5252,5288,5533,5748,6319,6618,6427
07075,3841,3578,3714,3758,3784,3959,4113,3963,4150,4030
07076,3851,3587,3522,3563,3588,3754,3900,3910,4095,3976
07077,8975,8359,7965,8059,8115,8490,8821,8887,9308,9038
07078,24106,22453,24760,25052,25226,26392,27421,28859,30225,29349
07079,4812,4482,4394,4446,4477,4684,4867,5132,5375,5219
07080,5908,5503,5336,5398,5436,5687,5909,5921,6201,6021
07081,5755,5361,4827,4884,4918,5145,5346,6255,6551,6361
07082,1454,1354,1524,1542,1553,1624,1688,1904,1995,1937
07083,2762,2572,2363,2391,2407,2519,2617,2658,2784,2703
07084,1417,1320,1175,1189,1197,1253,1301,1252,1311,1273
07085,1414,1317,1317,1332,1341,1403,1458,1512,1583,1538
07086,2893,2694,2738,2770,2789,2918,3032,3267,3421,3322
07087,5507,5129,4905,4963,4997,5228,5432,5442,5699,5534
07088,352,328,311,314,316,331,344,347,363,353
07089,49456,46065,42008,42503,42799,44777,46523,49742,52096,50586
07090,662,617,584,591,595,623,647,640,670,651
07091,1884,1755,1478,1495,1505,1575,1636,1889,1978,1921
07092,6987,6508,5584,5650,5689,5952,6185,6371,6673,6479
07093,6037,5623,5626,5693,5732,5997,6231,6251,6546,6357
07094,4914,4577,4815,4871,4905,5132,5332,5838,6114,5937
07096,10586,9860,9396,9507,9573,10016,10406,11088,11613,11276
07097,14279,13300,11679,11816,11899,12449,12934,13131,13752,13354
07098,1004,935,869,879,885,926,962,990,1036,1006
07099,10865,10120,8987,9093,9156,9579,9953,11296,11830,11487
07100,4891,4555,4296,4347,4377,4580,4758,4924,5157,5008
07101,79032,73613,74866,75748,76275,79801,82913,85897,89962,87355
07102,6092,5675,5072,5132,5168,5407,5618,5858,6135,5957
07103,4220,3930,3632,3675,3700,3871,4022,4368,4574,4442
07104,2171,2022,1898,1920,1933,2023,2101,2175,2277,2211
07105,2537,2363,2002,2026,2040,2134,2217,2187,2290,2224
07106,9618,8958,8454,8553,8613,9011,9362,9522,9972,9683
07107,12503,11646,10087,10206,10277,10752,11171,11561,12108,11757
07108,15648,14575,13837,14000,14097,14749,15324,15308,16032,15568
07109,4741,4416,4679,4734,4767,4987,5182,5282,5532,5372
07110,1033,962,880,891,897,938,975,1045,1095,1063
07111,5416,5045,4620,4675,4707,4925,5117,5664,5932,5760
07112,3766,3508,3705,3748,3774,3949,4103,4504,4717,4580
07113,662,616,730,738,743,778,808,787,825,801
07114,2628,2448,2263,2290,2305,2412,2506,2683,2810,2728
07115,1916,1785,1622,1641,1653,1729,1797,1777,1862,1808
07116,1562,1455,1270,1285,1294,1354,1406,1530,1602,1556
07117,926,862,968,980,987,1032,1073,1071,1122,1089
07118,623,580,468,473,477,499,518,705,739,717
07119,396,369,425,430,433,452,470,504,528,512
08001,628,503,485,510,505,539,543,449,425,484
08002,1023,820,821,864,856,913,921,875,828,943
08003,452,362,341,359,356,379,383,330,312,355
08004,281,225,257,270,267,285,288,419,397,452
08005,1159,928,925,973,964,1028,1037,940,890,1013
08006,338,271,241,254,252,268,271,236,223,254
08007,886,709,671,705,699,746,752,693,656,747
08008,662,531,549,578,572,611,616,563,533,607
08009,1474,1181,1236,1299,1287,1373,1385,1128,1068,1216
08010,1059,848,848,892,884,943,951,878,831,946
08011,2421,1940,1951,2051,2032,2168,2187,1912,1810,2060
08012,410,328,346,364,361,385,388,345,327,372
08013,528,423,348,366,362,386,390,415,393,447
08014,116,93,85,89,88,94,95,90,85,97
08015,90,72,60,63,63,67,67,66,62,71
